id|description|gtin|stock_quantity|unit_price
484|Lettuce - Romaine Heart|7899331435994|300.68|88.0401
485|Oil - Food Lacquer Spray|7891388355534|246.9|38.5654
486|Soda Water - Club Soda 355 Ml|7892999338136|461.27|0.3835
487|Nantucket - Carrot Orange|7892106983755|794.95|21.6423
488|Lambcasing|7894409904495|633.67|20.0813
489|Quiche Assorted|7899177087429|918.39|82.8234
490|Wine - Baron De Rothschild|7890436690378|377.22|49.7978
491|Nescafe - Frothy French Vanilla|7896536841365|9.97|24.9374
492|Oil - Truffle White|7890769233584||85.4883
493|Ham - Proscuitto|7891079275827|498.57|75.4608
494|Sauce - Thousand Island|7898563127631|941.27|80.2863
495|General Purpose Trigger|7890240227584||16.289
496|Sauce - Soya Dark||502.2|56.4839
497|Bread - Rolls Rye|7890733495917|149.99|48.801
498|Macaroons - Homestyle Two Bit|7891974927080|893.02|81.9045
499|Filling - Mince Meat|7897201467422|874.88|52.5192
500|Oranges - Navel 72|7896348430230|250.56|81.8434
501|Beer - True North Lager|7899703598565||75.4308
502|Soup Knorr Chili With Beans|7896059531521|232.24|91.669
503|Juice - Orange Concentrate|||61.9128
504|Sugar - Crumb|7899805132935|623.19|26.6154
505|Milk - Chocolate 500ml|7897154370509|451.38|51.5072
506|Bread - Pumpernickle Rounds|7892940299102|484.55|90.4841
507|Ice Cream - Life Savers|7893431294813|494.18|51.2426
508|Fond - Chocolate|7895460492766|664.15|77.9789
509|Oysters - Smoked|7897826678713|631.29|16.3534
510|Wine - Cava Aria Estate Brut|7898758102912|790.84|20.2895
511|Mcguinness - Blue Curacao|7890349911641|607.51|53.8854
512|Wine - Red Black Opal Shiraz|7890018081774|236.05|74.5946
513|Lemonade - Mandarin 591 Ml|7890542941029|704.45|34.6126
514|Ice Cream Bar - Drumstick|7898816042771|437.36|15.1072
515|Extract - Raspberry|7893018942322|187.83|19.8561
516|Chicken - Diced Cooked|7895939374965|866.42|87.5765
517|Tomatoes - Hot House|7891298272543|804.81|14.1159
518|Appetizer - Veg Assortment|7898001513097|811.38|74.5014
519|Isomalt|7894803250920|844.18|38.5146
520|Shrimp - Black Tiger 8 - 12|7893600750934|334.89|23.8434
521|French Kiss Vanilla|7894568248580|951.48|72.0815
522|Peach - Fresh|7894548206310||67.0667
523|Napkin White|7893262847613|782.72|17.9446
524|Pomegranates|7897490798115|592.76|52.8724
525|Milk - Buttermilk|7895071487111||28.1745
526|Lettuce - Iceberg|7893884500033|387.18|9.8497
527|Chicken - Diced Cooked|7897136105501|403.52|37.4323
528|Squid - Tubes / Tenticles 10/20|7895850136161|339.71|26.3626
529|Mustard - Seed|7892489076955|294.72|73.7343
530|Flour - Corn Fine|7891059423056|204.51|97.096
531|Arctic Char - Fresh Whole|7896100552852|35.52|84.6144
532|Sauce - Sesame Thai Dressing|7897302299013|595.03|62.6399
533|Goat - Leg|7892511458933|975.81|49.6426
534|Cake - Bande Of Fruit|7895087555834|313.39|9.2065
535|Island Oasis - Ice Cream Mix|7898448788077|399.97|33.8466
536|Grenadine||747.2|32.4642
537|Creme De Cacao Mcguines|7890903073480|838.98|8.1846
538|Wine - Two Oceans Cabernet|7897918830830|552.12|58.8127
539|Juice - Orangina|7894790885694|852.95|18.0337
540|Mix - Cocktail Strawberry Daiquiri|7890458277982|276.63|5.5771
541|Sugar - Monocystal / Rock|7895971429257|837.6|94.154
542|Salt And Pepper Mix - Black|7892333677794|547.06|66.4734
543|Liqueur Banana Ramazzotti|7891299278364|110.76|6.2606
544|Nut - Peanut Roasted|7898744043421|311.73|63.5896
545|Longos - Grilled Veg Sandwiches|7890106109099|364.32|2.5586
546|Puree - Mango|7894087074016||59.4512
547|Bowl 12 Oz - Showcase 92012|7891706321605|566.66|56.9815
548|Bread - Roll Whole Wheat|7895512044570|631.5|82.6687
549|Ice Cream - Fudge Bars|7892440832441|672.29|83.7802
550|Figs|7894232622187|711.47|60.4793
551|Flour - Bread|7897289492543||24.4614
552|Cheese - Brie Triple Creme|7894485298516|533.54|14.3208
553|Arctic Char - Fresh Whole|7899304646986||4.5655
554|Bread Ww Cluster|7892519101320|576.82|22.9644
555|Wine - Ice Wine|7890469472757|470.11|84.2215
556|Compound - Pear|7899028236941|114.86|80.466
557|Wine - Rioja Campo Viejo|7894932687778|281.72|29.2916
558|Sobe - Tropical Energy|7893659046800|254.1|53.3737
559|Cheese - Sheep Milk|7891297127874|262.48|69.8102
560|Worcestershire Sauce|7893786995568|11.0|85.3197
561|Beef - Tenderlion Center Cut|7890668005918|242.05|27.7792
562|Lettuce - Lolla Rosa|7898761377111|994.45|34.6374
563|Longos - Penne With Pesto|7899568425436||69.1799
564|Nantucket - Carrot Orange|7890976490623|983.55|83.4281
565|Sauce - Hoisin|7897304773949|285.02|45.3521
566|Wine - Charddonnay Errazuriz|7896486392030|147.94|61.1078
567|Pork Ham Prager|7897817871566|303.65|11.0084
568|Beef - Top Sirloin|7890084651503|539.39|58.1644
569|Ice Cream - Strawberry|7893263191837|106.03|36.281
570|Lotus Root|7890839862451|286.6|52.9851
571|Wine - Hardys Bankside Shiraz|7891492829885|733.5|98.3195
572|Beef - Top Butt|7895416216933|214.48|15.9307
573|Bok Choy - Baby|7897060625157|75.17|3.9251
574|Truffle Cups Green|7895997699893|749.03|45.1169
575|Cheese - Feta|7892822230939|746.29|26.0589
576|Ham - Cooked Italian|7897380851090|254.6|88.9357
577|Tuna - Bluefin|7894243101472|159.38|27.2507
578|Tart - Raisin And Pecan|7899818175498|974.13|82.1035
579|Lentils - Green Dry|7897551401124|620.89|48.6146
580|Shrimp - Baby Cold Water|7898701191537|803.33|3.111
581|Veal - Sweetbread|7899415713187|564.62|40.498
582|Juice - Pineapple 48 Oz|7896782032518|202.92|19.8834
583|Egg Patty Fried|7897549235495|578.01|30.0675
584|Pepper - Paprika Spanish|7892055800368||13.1459
585|Rosemary - Fresh|7898567859877|265.07|89.8045
586|Chickensplit Half|7891901029327|921.47|44.3465
587|Mackerel Whole Fresh|7898505606006|232.75|19.64
588|Sugar - Brown|7899406282131|161.46|48.7979
589|Soup - Campbells Tomato Ravioli|7898610378305|469.59|8.0085
590|Juice - Orangina|7891769895388|39.45|41.7285
591|Wine - Rosso Del Veronese Igt|7894363014762|278.67|20.1496
592|Truffle Shells - White Chocolate|7896233834698|432.15|25.7375
593|Wine - Baron De Rothschild|7893171540394|969.44|19.8712
594|Banana|7890339319834|485.08|90.5344
595|Mushroom - Enoki Dry|7896256760813|874.46|38.7568
596|Appetizer - Chicken Satay|7895258744825|646.18|33.7303
597|Limes|7894274674409|31.63|95.3093
598|Pimento - Canned|7890836209294|124.86|15.4557
599|Tea - Green|7898646002245|696.85|30.9082
600|Tart - Pecan Butter Squares|7893051800112|673.26|97.9159
601|Pastry - Cheese Baked Scones|7896257355651|431.11|40.7924
602|Puree - Mango|7892329026936|705.37|49.2324
603|Pail - 15l White With Handle|7899741465455|8.59|98.5895
604|Duck - Breast|7891915008721|836.48|20.818
605|Chinese Foods - Chicken Wing|7893428269772|278.24|22.5665
606|Lamb - Loin Trimmed Boneless|7899153956231|14.94|34.3586
607|Crab - Meat Combo|7896438852702|835.99|92.3653
608|Veal Inside - Provimi||480.34|92.0769
609|Soup - Campbells Minestrone|7890041947030|528.03|87.4626
610|Yucca|7897557572209|376.83|19.8928
611|Paste - Black Olive|7896921190168|213.35|41.5866
612|Tart Shells - Sweet 3|7896151462139|546.07|81.4253
613|Veal - Inside Round / Top Lean|7893075688769|764.88|87.816
614|Energy - Boo - Koo|7892897736580|491.25|56.922
615|Mushroom - Shitake Dry|7891548157999||53.9404
616|Veal - Insides Grains|7896469150018|884.79|85.4178
617|Soup - Campbellschix Stew|7896110594110|450.33|44.8031
618|Rum - Coconut Malibu|7892798344340|507.16|15.7296
619|Shrimp - Black Tiger 13/15|7895566101793|710.08|75.3882
620|Pur Source|7890667529640|526.64|16.1007
621|Beer - Alexander Kieths Pale Ale|7894730930411|21.03|7.6377
622|Wine - Tribal Sauvignon|7896016543446|369.24|3.0538
623|Passion Fruit|7890762180059|37.29|47.7639
624|Beef Striploin Aaa|7896553015805|478.76|47.9993
625|Easy Off Oven Cleaner||962.54|75.2872
626|Juice - Apple 284ml|7894688730595|277.86|7.2299
627|Tomatoes - Orange|7896588315136|84.16|15.8819
628|Cheese - Gouda|7897050413536|380.79|95.0413
629|Wine - Penfolds Koonuga Hill|7897650683253|156.31|46.8498
630|Cheese - Victor Et Berthold|7892815367245|903.18|89.1701
631|Arctic Char - Fillets|7892388283040|15.13|43.1414
632|Beef Wellington|7896697346404|685.22|49.1423
633|Beets - Candy Cane Organic|7892318843168|17.24|98.9506
634|Nut - Hazelnut Ground Natural|7897763373106|842.43|73.0605
635|Muffin Orange Individual|7891719401288|877.25|97.8079
636|Ham - Cooked Italian|7895236391322|549.51|49.4805
637|Potatoes - Idaho 100 Count|7890815834375|461.64|96.3303
638|Asparagus - Mexican|7892530436411|402.49|58.9317
639|Chips Potato Reg 43g|7898230984523|560.53|63.2256
640|Raspberries - Frozen|7892147848953|521.44|69.1428
641|Tart - Lemon|7891056381314|106.7|39.9769
642|Wine - Cahors Ac 2000 Clos|7893057969680|483.89|10.9937
643|Sloe Gin - Mcguinness|7895697511875|392.93|33.837
644|The Pop Shoppe - Lime Rickey|7891020396438|578.47|80.0064
645|Appetizer - Veg Assortment|7897824781076|874.42|93.3196
646|Bread - French Stick|7891413798592|197.66|16.2056
647|Island Oasis - Mango Daiquiri|7893186849337|861.0|13.4425
648|Sponge Cake Mix - Chocolate|7893890150513|243.55|81.466
649|Wine - Casablanca Valley|7898342465307|41.43|41.4433
650|Pepper - Red Chili|7895896139170|191.01|59.001
651|Bread Ww Cluster|7895576479496|431.16|7.142
652|Muffin - Mix - Strawberry Rhubarb|7892464816807|771.11|20.7488
653|Sobe - Liz Blizz|7895425753140|155.13|70.8813
654|Turnip - White|7898837876002|667.28|33.7098
655|Puree - Guava|7890433253766|184.19|8.5322
656|Wine - Bouchard La Vignee Pinot|7892280153911|783.54|54.7904
657|Split Peas - Green Dry|7891992095402|260.28|73.5101
658|Oil - Shortening - All - Purpose|7893022187000|343.67|23.2517
659|Compound - Strawberry|7894772034716|783.29|46.1674
660|Lettuce - Curly Endive|7895356557982|73.58|59.3357
661|Rum - Dark Bacardi Black|7891145086826|288.07|21.8107
662|Shrimp - Tiger 21/25|7891272629766|468.7|42.3076
663|Strawberries - California|7895355395228|985.3|72.5847
664|Turkey - Breast Boneless Sk On|7899067886913|319.86|41.1966
665|Parsley - Fresh|7898403120955|942.05|58.3603
666|Seedlings - Mix Organic|7898297089874|834.31|27.1531
667|Juice - Mango|7898779490619|790.78|1.8347
668|Skewers - Bamboo|7896969083179|968.13|53.6319
669|Fish - Base Bouillion|7898354524768|805.18|44.2285
670|Mint - Fresh|7898502256987|651.24|95.0714
671|Muffin Mix - Oatmeal|7897755798574|79.95|28.1216
672|Coke - Diet 355 Ml|7890875288997|633.34|80.3017
673|Ice Cream - Chocolate|7892266741216|678.45|31.5685
674|Everfresh Products|7898191490535||73.5317
675|Sage - Fresh|7899550645321|826.15|64.5131
676|Water - Perrier|7891522603907|860.89|74.3066
677|Cheese - Brie|7895975812675|251.76|90.3854
678|Flour - Buckwheat Dark|7895007655055|503.68|56.2612
679|Beef - Ox Tongue|7894987997120||27.0655
680|Flour - Fast / Rapid|7895753492652|105.17|71.0104
681|Cups 10oz Trans|7897408422281|124.65|70.1101
682|Veal - Provimi Inside|7890594290261|698.04|54.003
683|Beef - Ground Lean Fresh|7892651199951|327.1|79.3714
684|Maintenance Removal Charge|7897282967367|41.92|69.5031
685|Wine - Remy Pannier Rose|7898746075891|823.04|20.051
686|Sherry - Dry|7897640934996|571.49|50.6294
687|Squash - Sunburst|7891124824206|82.09|15.3384
688|Bread - Hot Dog Buns|7897508170530|950.48|7.0651
689|Plasticknivesblack|7895703695958|317.93|63.9602
690|Bread - Pullman Sliced|7890618415715|157.06|1.0099
691|Tea - Black Currant||753.05|76.4704
692|Cranberries - Dry|7896314199332|728.12|53.854
693|Teriyaki Sauce||438.56|86.2133
694|Sparkling Wine - Rose Freixenet|7895955436717|591.19|44.7087
695|Bread - Bagels Plain|7890084954308|387.83|90.2837
696|Chevere Logs|7898742077875|496.41|26.4122
697|Oil - Macadamia|7899061017952|168.07|79.5533
698|Juice - Apple 500 Ml|7897856882653|472.5|26.7002
699|Banana - Leaves|7892777246589|748.24|72.105
700|Beer - Pilsner Urquell|7893074383044|245.5|10.3126
701|Blueberries - Frozen|7891419488893|615.71|22.405
702|Wine - Prosecco Valdobienne|7899253225213|209.21|59.7158
703|Pasta - Lasagne Fresh|7893367806463|777.83|21.5939
704|Chips Potato Salt Vinegar 43g|7897609369445|571.14|53.0172
705|Lemon Balm - Fresh|7893806252774|300.47|70.8104
706|Salt And Pepper Mix - White|7899689256258|806.81|66.7444
707|Tart - Butter Plain Squares|7893776128099|48.78|65.9392
708|Cinnamon - Ground|7894495727098|676.06|29.604
709|Cheese - Comte|7890773913075|703.61|86.2563
710|Garlic - Elephant||615.06|37.4599
711|Pork - Ham Virginia|7890064143226|507.58|75.0405
712|Cheese - Taleggio D.o.p.|7899150527186|963.03|63.0957
713|Beef - Tenderloin - Aa|7896452770872|50.27|82.8847
714|Water - Tonic|7894584055821||45.0388
715|Soup - Cream Of Potato / Leek|7893380589813|775.87|45.5946
716|Sprouts - Corn|7897007901664|611.2|90.9171
717|Milk - Chocolate 250 Ml|7896061489321||67.6775
718|Walkers Special Old Whiskey|7895792045100||78.038
719|Beans - Navy Dry|7898606456093|979.88|8.5682
720|Beer - Steamwhistle||518.45|78.4815
721|Icecream Cone - Areo Chocolate|7890686645632|393.92|7.3163
722|Olive - Spread Tapenade||420.48|56.9835
723|Stock - Beef Brown|7895301672721|781.18|86.9898
724|Sugar - Palm|7892795967824|807.3|95.3093
725|Lamb - Racks Frenched|7890772195368|942.86|69.2871
726|Shrimp - Black Tiger 26/30|7892974647239|589.57|62.8783
727|Pears - Anjou|7895570864897|282.83|35.6838
728|Sansho Powder|||62.6276
729|The Pop Shoppe - Cream Soda|7891656959765|274.92|43.0196
730|Potatoes - Instant Mashed|7895303080950|433.85|11.8887
731|Lighter - Bbq|7892595856634|949.42|82.796
732|Mushrooms - Black Dried|7895001735337|32.43|85.3916
733|Bacardi Breezer - Strawberry|7899488055352|849.74|21.472
734|Fennel - Seeds|7899444244578|773.36|48.842
735|Soup Campbells|7895297657751|418.64|81.1588
736|Tequila - Sauza Silver|7892647457456|959.36|72.6313
737|Wine - Remy Pannier Rose|7890871705420|564.61|48.0144
738|Orange - Blood|7894086854683|201.79|62.6848
739|Temperature Recording Station|7893842816599|0.39|1.6016
740|Oregano - Fresh|7890962537474|264.14|14.7076
741|Nut - Almond Blanched Sliced|7891974089371||52.5835
742|Apple - Granny Smith|7894280243917|547.81|26.8681
743|Potatoes - Idaho 80 Count|7899248795246|415.89|69.9129
744|Rice - Basmati|7897393541825|653.92|75.284
745|Chicken - Breast 5 - 7 Oz|7895066949654||62.3885
746|Vaccum Bag 10x13|7896991667526|238.3|79.3808
747|Neckerchief Blck|7894626443788|166.71|42.7404
748|Truffle Cups - Red|7896391621501|616.06|3.9609
749|Mangoes|7897674943228|393.73|65.1549
750|Basil - Dry Rubbed|7896447301048|544.53|42.3581
751|Macaroons - Homestyle Two Bit|7891975575010|846.27|34.6795
752|Vermacelli - Sprinkles Assorted|7898779844947|92.69|92.3453
753|Almonds Ground Blanched|7897255130731|473.46|38.9604
754|Vodka - Lemon Absolut|7898215705241|75.43|46.5094
755|Wine - Delicato Merlot|7897571359114|175.9|74.9513
756|Yogurt - Blueberry 175 Gr|7890426871599|569.55|50.9997
757|Seedlings - Buckwheat Organic|7890246663215|258.74|95.2884
758|Squash - Pattypan Yellow|7895388729794|744.77|90.4173
759|Wine - Chateau Aqueria Tavel|7892363937265|864.56|5.2969
760|Mushroom - Enoki Dry|7899574589316||30.4014
761|Creme De Cacao Mcguines|7895902694874|265.12|25.3641
762|Ecolab - Power Fusion|7892023447219|163.31|19.7766
763|Soup - Clam Chowder Dry Mix|7897840082368|357.03|30.0914
764|Truffle Cups - Brown|7890243093153||9.124
765|Lid - 0090 Clear|7896865934961|68.88|9.5867
766|Honey - Liquid|7897218675046|487.53|34.4686
767|Okra|7898293785579|53.17|14.4406
768|Flower - Dish Garden|7896239819377|959.97|87.3614
769|Meldea Green Tea Liquor|7893544552869|892.23|53.0889
770|Wine - Rubyport|7898858484513|634.04|17.4894
771|Soy Protein|7896317062976|18.54|3.6559
772|Crab Meat Claw Pasteurise|7894537587216|337.77|97.5855
773|Wine - Pinot Grigio Collavini|7898666008916|852.95|36.773
774|Uniform Linen Charge|7895673742922|439.06|62.6285
775|Lettuce - California Mix|7895259610760|65.55|96.94
776|Milk - Condensed|7890859077128|337.93|9.2277
777|Slt - Individual Portions|7893968174600|282.87|85.1289
778|Appetizer - Sausage Rolls|7895529973295|972.69|78.2314
779|Cheese - Parmigiano Reggiano|7899139275155|28.21|48.9048
780|Appetizer - Lobster Phyllo Roll|7898750404403|809.78|58.7347
781|Tart Shells - Savory 2|7898535258899|913.6|3.7754
782|Pumpkin|7894651424665|470.68|62.8546
783|Bread Crumbs - Panko|7891869351157|324.92|98.7853
784|Chef Hat 25cm|7895571889539|903.06|16.3458
785|Bread Cranberry Foccacia|7898494905755|220.94|15.4231
786|Carrots - Purple Organic|7897116531782|32.37|59.3612
787|Sauce - Cranberry|7899870148564|820.89|41.6049
788|Lobak|7896786471806|667.34|58.8912
789|Soup - Campbells Bean Medley|7890986224040|342.41|32.7928
790|Bread - Crumbs Bulk|7896724545427|220.43|54.9256
791|Ezy Change Mophandle|7899092800293|92.78|19.562
792|Lid - 101216 Oz|7892513886136|177.01|54.9161
793|Roe - Flying Fish|7895229146862|862.11|4.9826
794|Yoplait - Strawbrasp Peac|7894175275580|52.19|93.9332
795|Ecolab - Power Fusion|7898572866545|870.79|19.411
796|Yogurt - Blueberry 175 Gr|7899592886700|415.02|71.042
797|Island Oasis - Strawberry|7894656222038|737.43|91.0683
798|Chicken - Ground|7891392291609|318.74|3.7084
799|Table Cloth 53x69 White|7896739536923|524.87|12.3203
800|Figs|7895982547421|732.15|44.1375
801|Wine - Delicato Merlot|7893434072420|777.19|22.6636
802|Pastry - Key Limepoppy Seed Tea|7897880312448|203.34|83.0516
803|Sponge Cake Mix - Vanilla|7896843381374|472.8|31.3624
804|Beer - Heinekin|7894631559360|511.92|85.1169
805|Pork - Smoked Back Bacon|7895885053982|73.67|37.3034
806|Wine - Rhine Riesling Wolf Blass|7899535785769|944.19|56.9787
807|Soda Water - Club Soda 355 Ml|7891894646051|54.46|70.5506
808|Gingerale - Diet - Schweppes|7897034653581|37.08|69.4296
809|Wine - Fat Bastard Merlot|7893252137429|972.52|61.502
810|V8 - Tropical Blend|7893196872079|903.33|1.0984
811|Mushroom - Porcini Dry||284.1|1.4775
812|Flour - Bread|7894853090883|445.82|7.1169
813|Fib N9 - Prague Powder|7895307549258|816.46|92.6925
814|Soup - Knorr Chicken Noodle|7892848884401|309.58|28.6693
815|Sauce - Alfredo|7891937876623|972.06|17.9821
816|Cream - 10%|7897491209156|481.93|86.9299
817|Urban Zen Drinks|7899768160868|752.62|30.5975
818|Coffee - Espresso|7890282405349|937.55|2.117
819|Pepperoni Slices|7890402865041|939.25|15.2253
820|Cake - Lemon Chiffon|7894587172146|103.43|2.6482
821|Spinach - Baby|7892311856345|379.04|80.3641
822|Schnappes - Peach Walkers|7893240726644|655.55|17.5985
823|Anisette - Mcguiness|7895166803374||43.1536
824|Chips - Potato Jalapeno|7899910126770||13.7994
825|Toamtoes 6x7 Select|7897356956091|711.69|73.8404
826|Beer - Tetleys|7899041627794|528.82|93.2122
827|Wine - Chardonnay Mondavi|7893219620855|714.83|48.4945
828|Nut - Hazelnut Whole|7891074385021|706.02|89.7279
829|Wine - White Concha Y Toro|7891452887821|616.29|28.3579
830|Tomatoes - Cherry Yellow|7890995554774|626.71|9.1787
831|Pepper - Black Ground|7898408162231|186.7|80.5385
832|General Purpose Trigger|7891381828472|155.34|28.5331
833|Chives - Fresh|7894191535278|505.42|39.7807
834|Coke - Classic 355 Ml|7898253138545|474.6|28.0627
835|Green Scrubbie Pad H.duty|7897497112423|88.91|68.8305
836|Bread - Roll Italian|7898286410857|932.75|65.7545
837|Sour Puss Sour Apple||725.75|81.2088
838|Wine - Two Oceans Sauvignon|7891384818225|290.16|4.6867
839|Soap - Mr.clean Floor Soap|7890977510805|301.29|42.5279
840|Fruit Salad Deluxe|7891143657231||12.5532
841|Hinge W Undercut|7899558343584|522.31|4.5811
842|Scallops - Live In Shell|7891118640719|462.67|32.5482
843|Gatorade - Cool Blue Raspberry|7892311784218|439.54|21.1339
844|Longos - Assorted Sandwich|7895649319721|610.06|30.4482
845|Crackers - Graham|7890662401428|169.01|62.6168
846|Wine - Tio Pepe Sherry Fino|7892356340111|827.32|36.7208
847|Gatorade - Fruit Punch|7894720161145|388.91|21.9955
848|Juice - Apple 341 Ml|7890415458211|698.92|54.5589
849|Banana - Green|7894572981388|941.25|9.4442
850|Turkey - Ground. Lean|7899783269112|766.9|35.2363
851|Durian Fruit||604.48|76.4002
852|Wine - Barossa Valley Estate|7893963380812|52.11|72.2725
853|Chocolate - Liqueur Cups With Foil|7896649741990|158.84|64.1511
854|Noodles - Steamed Chow Mein|7892390829203|418.37|73.7658
855|Vinegar - Red Wine|7897029322895|912.54|4.8045
856|Cheese - Comtomme|7897205137998|793.73|21.1784
857|Beans - Butter Lrg Lima||903.53|79.3118
858|Wine - Riesling Dr. Pauly|7890678636396|307.65|76.9199
859|Ecolab - Lime - A - Way 4/4 L|7895853940139|517.31|82.6325
860|Cup - Paper 10oz 92959|7898940475883||33.3267
861|Muffin Batt - Blueberry Passion|7899915393370|654.83|28.9546
862|Bar - Sweet And Salty Chocolate|7898201354058|425.52|71.5601
863|Rum - Light Captain Morgan|7891622879443|141.53|29.5984
864|Bagels Poppyseed|7899382790525|134.37|93.7945
865|Muffin Carrot - Individual|7894731757243|305.95|81.7904
866|Carroway Seed|7894861150348|432.91|26.3993
867|Pomello|7894564785951|151.71|70.8379
868|Jameson - Irish Whiskey|7894265929136|912.94|43.085
869|Tea - Herbal I Love Lemon|7891657414205|753.72|34.1679
870|Jicama|7897558792201|836.18|28.3314
871|Pasta - Fettuccine Dry|7890451165399|915.33|10.3514
872|Lobster - Base|7894288850308|464.1|17.8013
873|Tortillas - Flour 8|7896413643983|651.31|7.8976
874|Bread - Roll Soft White Round|7890793184381|71.54|82.3756
875|Bread - Crumbs Bulk|7897612021277|835.08|85.5657
876|Skirt - 24 Foot|7896560907964||21.6048
877|Beans - Wax|7891620276868||23.7012
878|Sausage - Breakfast|7892710330407|867.3|78.1742
879|Steampan Lid|7890949675364|960.1|94.0781
880|Milk - Homo|7890118949076|452.33|69.8786
881|Bread - Pumpernickle Rounds|7897686210656|857.48|98.1348
882|Veal - Leg|7896111597326|689.28|91.016
883|Bread - Sour Batard|7896511177839|777.45|39.0007
884|Sauce - Hollandaise|7891564844055|709.87|46.2631
885|Chinese Foods - Thick Noodles|7896059636007|989.17|16.7029
886|Filling - Mince Meat|7894489523599|634.85|37.8621
887|Lamb - Whole Head Offnz|7899430249658|339.76|96.9997
888|Wine - Magnotta Merlot Sr Vqa|7892422018591|6.38|97.8141
889|Pasta - Cappellini Dry|7894824204022|121.91|42.6053
890|Bread - Bistro White||955.33|89.426
891|Anchovy In Oil|7890192651083|488.71|46.0036
892|Eggplant - Asian|7899333306769|523.66|13.5459
893|Sausage - Liver|7894543995872|38.03|41.7185
894|Beans - Fava Fresh|7894608330499|704.59|95.67
895|Pasta - Cappellini Dry|7892530373146|378.3|50.8508
896|Wine - Pinot Grigio Collavini|7894030306733|208.28|86.9235
897|Chinese Foods - Pepper Beef|7893127085997|466.57|7.7971
898|Steampan - Half Size Shallow|7898301981423|552.86|25.0549
899|Pasta - Lasagna Dry|7894489290331|127.85|20.5802
900|Foil - 4oz Custard Cup|7896388351595|556.1|12.9687
901|Wine - Red Concha Y Toro|||14.1255
902|Savory|7894169289616|461.71|35.7954
903|Beef - Top Sirloin|7890765596780|794.63|90.8863
904|Pasta - Detalini White Fresh|7895308073886||60.163
905|Shrimp - 31/40|7893738889450|902.07|47.8489
906|Sausage - Blood Pudding|7890026053465|292.54|86.5679
907|Artichoke - Bottom Canned|7892830687097||11.6648
908|Soup - Campbells - Chicken Noodle|7892842562679|446.56|9.4741
909|Parsnip|7895189062739||20.1402
910|Ginger - Pickled|7899094383625|125.95|24.5811
911|Sloe Gin - Mcguinness|7892985214200|839.34|8.5976
912|Garlic - Peeled|7893545996832|934.82|25.7966
913|Lamb - Racks Frenched|7892434789181|910.46|53.0515
914|Flour - Teff|7897897492742|485.45|49.4741
915|Soup - Base Broth Chix|7895048157220|320.85|10.5462
916|Mudslide||83.84|57.9247
917|Flour - Teff|7894735203639|169.84|37.5529
918|Lamb - Shoulder|7899756348075|227.85|47.9036
919|Heavy Duty Dust Pan|7897817650379|944.05|53.9361
920|Sauce Tomato Pouch|7894451185812|129.9|9.6086
921|Bread - Rosemary Focaccia|7890715749442|903.89|2.6263
922|Seedlings - Clamshell|7890973835710|452.14|54.2153
923|Cabbage Roll|7893157814783|935.68|39.2434
924|Croissants Thaw And Serve||860.38|75.619
925|Carroway Seed|7894462674494|895.97|13.1847
926|Puree - Strawberry|7899411054756|479.45|80.223
927|Jerusalem Artichoke|7897029060149|26.97|21.3608
928|Halibut - Fletches|7893258274456|827.88|4.1541
929|Water - Spring Water 500ml|7891532853318|477.01|9.7181
930|Cloves - Whole|7897647625162|525.3|26.721
931|Cookie - Oreo 100x2||669.91|71.1077
932|Crab - Claws 26 - 30||927.99|62.1811
933|Danishes - Mini Cheese|7899773356520|704.96|9.0784
934|Wine - Beringer Founders Estate|7894569486663|84.97|46.3464
935|Paper - Brown Paper Mini Cups|7890222933972|765.48|79.7233
936|Wakami Seaweed|7896890977868|364.89|63.7351
937|Table Cloth 53x53 White|7896570997862|555.83|69.5923
938|Wine - Zonnebloem Pinotage|7890192428888||93.769
939|Grouper - Fresh|7890396286468|117.97|88.9664
940|Swordfish Loin Portions|7898397546869|144.09|22.8648
941|Nut - Chestnuts Whole|7895635631271|465.74|64.6331
942|Anchovy Paste - 56 G Tube|7891412597289|38.27|90.4995
943|Pepper - Paprika Hungarian|7894855065792|481.02|62.9052
944|Yeast Dry - Fermipan|7899085451304|62.83|49.0206
945|Crush - Grape 355 Ml|7895589345257||74.386
946|Tea - Herbal - 6 Asst|7891902228464|526.32|27.6283
947|Potatoes - Parissienne|7891534322842|820.49|83.2028
948|Beans - Kidney White|7894444702830|63.35|26.1967
949|Apple - Fuji|7895711762123|688.48|29.7207
950|Wine - Magnotta Merlot Sr Vqa|7893984939469|605.48|46.5089
951|Rum - White Gg White|7894722469481|226.3|63.3413
952|Fib N9 - Prague Powder|7896531558114|392.11|15.8002
953|Pasta - Orzo Dry|7890714679612||7.6963
954|Spinach - Baby||464.21|93.518
955|Bread Country Roll|7898765229884|428.58|32.026
956|Rosemary - Primerba Paste|7890365225039|816.8|92.4266
957|Wine - Mondavi Coastal Private|7894536564632|648.06|18.6507
958|Danishes - Mini Raspberry||350.52|61.7214
959|Cheese - Pont Couvert|7891243205831|219.77|25.9104
960|Wooden Mop Handle|7893328449994|448.52|73.3112
961|Juice - Orange 1.89l|7898816748936|704.01|50.9321
962|Bread - 10 Grain Parisian|7896466126405|685.33|89.8585
963|Wine - Merlot Vina Carmen|7890490331986||54.4429
964|Soup - Cream Of Potato / Leek|7897435592371|35.42|93.2181
